step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,B_stopped,B_accumulated_waiting_time,B_average_speed,E_stopped,E_accumulated_waiting_time,E_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
745.0,15,2808.0,133.71428571428572,2.8492933417710598,2,273.0,0.0,8,1754.0,0.11089935419885316,10,2027.0
750.0,14,2261.0,98.30434782608695,3.4877789406891777,2,283.0,0.0,6,1473.0,0.20159579293342908,8,1756.0
755.0,12,1947.0,77.88,4.611363195482037,2,296.0,0.29210652055608993,4,1145.0,0.2060244570405876,6,1441.0
760.0,7,703.0,27.03846153846154,5.690128529857768,2,307.0,0.5904204147862456,1,829.0,0.32123490640830804,3,1136.0
765.0,7,333.0,12.333333333333334,6.496862338329935,4,321.0,0.41553778997637403,3,477.0,0.30669851387042507,7,798.0
770.0,7,368.0,13.62962962962963,6.944682596548385,4,337.0,0.4485490643546578,3,346.0,0.28286674052677313,7,683.0
775.0,12,413.0,14.75,6.357937457404449,7,365.0,0.326683304582923,4,48.0,0.20269585623720818,11,413.0
780.0,11,450.0,15.0,6.179014855560072,5,466.0,0.2666064416102979,5,72.0,0.31383431016212243,10,538.0
785.0,13,506.0,17.448275862068964,5.650132565928464,6,488.0,0.20214234331320197,7,100.0,0.00022354701859231244,13,588.0
790.0,14,217.0,8.346153846153847,4.434553246252216,7,164.0,0.22957773372646786,7,135.0,0.0,14,299.0
795.0,15,290.0,12.608695652173912,3.3367205483751246,8,202.0,0.09685847639057536,7,170.0,0.26802390160478856,15,372.0
800.0,11,297.0,12.375,3.111820032508907,4,188.0,0.019990300315266656,7,205.0,0.10046878727652847,11,393.0
805.0,13,357.0,14.28,4.887478032526223,4,112.0,0.4014229118810255,8,251.0,0.1658178871056995,12,363.0
810.0,13,422.0,15.071428571428571,5.066831958061288,4,132.0,0.19546179347861858,9,296.0,0.2004043764274059,13,428.0
815.0,15,491.0,17.535714285714285,5.346415716650356,5,153.0,0.24131901244479684,10,341.0,0.2028984533930003,15,494.0
820.0,17,570.0,19.655172413793103,3.4862636499124657,7,182.0,0.15054393276252764,10,391.0,0.15337439317785592,17,573.0
825.0,20,655.0,20.46875,3.841582224408847,7,214.0,0.21313595411740704,11,444.0,0.15872799381826116,18,658.0
830.0,20,749.0,24.161290322580644,2.988716485308145,7,249.0,0.11015951143974914,12,506.0,0.129673532520274,19,755.0
835.0,21,851.0,26.59375,3.645260413985022,7,284.0,0.0,14,573.0,0.17089539411328392,21,857.0
840.0,22,956.0,28.96969696969697,3.3244224902794386,7,319.0,0.2033803515384515,14,640.0,0.07302462370536843,21,959.0
845.0,24,1072.0,30.62857142857143,2.6564789181447868,8,356.0,0.19889891996849665,16,719.0,0.026646271876193166,24,1075.0
850.0,22,979.0,27.194444444444443,2.781359404691017,9,394.0,0.14333210208303718,12,634.0,0.12658378801814005,21,1028.0
855.0,22,1065.0,26.625,4.441192151526839,9,439.0,0.09933485569007657,13,633.0,0.13134557578782344,22,1072.0
860.0,22,1170.0,29.25,4.971739185246567,10,485.0,0.09996595032136235,12,692.0,0.2089242468097247,22,1177.0
865.0,26,1287.0,34.78378378378378,2.1889177695633877,11,541.0,0.15724945064436335,14,755.0,0.09273577076467274,25,1296.0
870.0,26,1412.0,36.205128205128204,2.479087509511752,10,589.0,0.0793897715990587,16,833.0,0.0010167544712385637,26,1422.0
875.0,29,1546.0,38.65,2.968219386611783,10,635.0,0.07955761140863779,17,921.0,0.13523470242381383,27,1556.0
880.0,24,1364.0,32.476190476190474,3.5748942369464096,8,599.0,0.1570407297017589,15,841.0,0.1528530598236859,23,1440.0
885.0,23,1409.0,32.76744186046512,4.066638080768343,9,612.0,0.17703563967540273,12,835.0,0.0510121154980854,21,1447.0
890.0,24,1526.0,34.68181818181818,4.166913182753824,9,657.0,0.0,13,898.0,0.09908314319450323,22,1555.0
895.0,28,1659.0,43.6578947368421,2.567050303894325,9,702.0,0.044349657383770995,16,976.0,0.053770548924781496,25,1678.0
900.0,23,1301.0,35.16216216216216,2.572634660600592,5,494.0,0.2634377120034047,15,1024.0,0.008859303538530613,20,1518.0
905.0,18,1100.0,28.94736842105263,4.572222826087629,2,204.0,0.376567104320707,15,1063.0,0.10920774860420175,17,1267.0
910.0,21,1170.0,30.0,4.676239923639888,3,107.0,0.18137152803428847,17,1140.0,0.15777021750551332,20,1247.0
915.0,23,1278.0,35.5,3.3628423706233215,4,75.0,0.17038584218399785,19,1228.0,0.12355733315885224,23,1303.0
920.0,23,1379.0,38.30555555555556,2.63227770024092,5,79.0,0.12610774404797828,18,1304.0,0.11715749903999716,23,1383.0
925.0,24,1495.0,40.4054054054054,3.8316093029986775,5,104.0,0.2418857229400084,19,1394.0,0.12616822896475705,24,1498.0
930.0,26,1619.0,46.25714285714286,2.770541787235354,5,129.0,0.104324431298411,21,1493.0,0.0713429338901785,26,1622.0
935.0,30,1754.0,51.588235294117645,0.6408844952962685,7,159.0,0.07254268333000442,21,1598.0,0.0003927654488123159,28,1757.0
940.0,28,1885.0,55.44117647058823,1.4621929165323646,7,194.0,0.11162016523478503,21,1694.0,3.633565685945664e-07,28,1888.0
945.0,26,1949.0,52.67567567567568,1.799714064788274,5,156.0,0.14303936985955032,21,1799.0,0.011923000776152687,26,1955.0
950.0,27,2082.0,54.78947368421053,2.810581752610415,5,181.0,0.27105867160105585,22,1907.0,0.000467063581780111,27,2088.0
955.0,28,2217.0,56.84615384615385,2.1517956000587675,6,209.0,0.11268312177419502,22,2014.0,0.04081259315205969,28,2223.0
960.0,29,2357.0,62.026315789473685,2.4974667759647566,6,239.0,0.0,22,2124.0,0.0650931946394771,28,2363.0
965.0,21,1196.0,31.473684210526315,2.348410440079785,6,269.0,0.0,15,1522.0,0.08883309318843736,21,1791.0
970.0,10,384.0,9.365853658536585,5.337763269745943,6,305.0,0.22202171417517064,4,522.0,0.18381157061138348,10,827.0
975.0,13,437.0,9.71111111111111,8.163372497558507,6,335.0,0.5725243736606942,5,190.0,0.4119132792607625,11,525.0
980.0,9,272.0,5.787234042553192,7.536120901668642,3,214.0,0.5274574808277799,5,136.0,0.1927043517386684,8,350.0
985.0,10,313.0,6.955555555555556,8.443690722849444,3,154.0,0.3934970010801087,6,165.0,0.3816640416660136,9,319.0
990.0,11,367.0,9.41025641025641,7.166673713331477,4,174.0,0.28889855412657506,7,199.0,0.33559812692312774,11,373.0
